Equipo, Contest, Calificación de los problemas [0; 10]
Gracias Mateo, Latin American Super-Regional 2024, 10
Gracias Mateo, Asia Qingdao Regional 2018, 3
Gracias Mateo, Asia Jinan Regional 2018, 8
Gracias Mateo, RPC 2024.04, 2
Gracias Mateo, Asia Jiangsu Collegiate 2021, 7
Gracias Mateo, Asia Shenyang Regional 2023, 6
Gracias Mateo, Brazil Fase Zero 2024, 9
AEIØŪ, Asia Guilin Collegiate 2023, 6
Gracias Mateo, The 3rd Universal Cup. Stage 2: Zielona Góra, 3
Gracias Mateo (solo con Pietro), Brazil Subregional 2020-2021, 9
Gracias Mateo, TC ARG 2024 #1, 10
Gracias Mateo, TC ARG 2024 #2, 10
Gracias Mateo, TC ARG 2024 #3, 10
Gracias Mateo, TC ARG 2024 #5, 9
Gracias Mateo, TC ARG 2024 #6, 5
Gracias Mateo, TC ARG 2024 #7, 6
Gracias Mateo, TAP Argentinian Subregional 2016, 9
Gracias Mateo, TAP Argentinian Subregional 2017, 7
Gracias Mateo, USP Try-outs 2024, 6
Gracias Mateo, TAP Argentinian Subregional 2024, 10
Gracias Mateo, Asia Hong Kong Regional 2023, 8
Gracias Mateo, NEERC Regional 2010-2011, 10
Gracias Mateo, Asia Xi'an Regional 2023, 9
Solo, Brazil Subregional 2024-2025, 8
Gracias Mateo, NEERC Regional 2016-2017, 10
Gracias Mateo (solo con Toni), SEERC Regional 2022, 10
Gracias Mateo, NEERC Regional 2017-2018, 10
Gracias Mateo, NEERC Regional 2014-2015, 10
Gracias Mateo, NEERC Regional 2015-2016, 10
Gracias Mateo, Latin American Regional 2016-2017, 9
entra fUNCional, USP Try-outs 2022, 8
Con los Carranza nadie nos alcanza, USP Try-outs 2017, 10
Gracias Mateo, Asia Taoyuan Regional 2023, 9
Gracias Mateo, Latin American Super-Regional 2025, 10
Gracias Mateo, Competencia Leopoldo Taravilse 2025, 7
Gracias Mateo, Brazil Fase Zero 2025, 8
Gracias Mateo, TC ARG 2025 #2, 10
Gracias Mateo, TC ARG 2025 #7, 10
Solo, TAP Argentinian Subregional 2025, 9
Gracias Mateo, The 3rd Universal Cup. Stage 37: Wuhan, 10
Con los Carranza nadie nos alcanza, NEERC Northern Subregional 2025-2026, 9
